repo_path	extension	public_repo_status	review_status	notes
352_-_music_maykers_-_times_like_these.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
KLEIGH - COUNTING TIME (1).m4a	m4a	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
KLEIGH - COUNTING TIME (2).m4a	m4a	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
KLEIGH - COUNTING TIME.m4a	m4a	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
deep_end.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/assets/103 - KLEIGH - DOWN BABY.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/assets/Lilli O'Dowd - Here in the Night.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/assets/Lookin' In So Look Out.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/assets/fly-again.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/audio/gpm_intro.m4a	m4a	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/audio/lcf_intro.m4a	m4a	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/audio/mc_bot_intro.m4a	m4a	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/audio/pixie_intro.m4a	m4a	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/demo1.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/demo2.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/demo3.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/blinkin'-'bout-you.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/bought-into-your-game.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/breakfast!.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/dance-party.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/devil-get-away-from-me.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/fools-game-(master-2).mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/going-outside.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/here-in-the-night.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/i-am-a-fighter--el-mix-instro.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/i-live-free--instro.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/i-need-an-angel.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/i-was-made-to-be-awesome.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/i-was-made-to-be-awesome[67].mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/imaginary-zoo.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/is-it-us?.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/jump.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--a-calm-evening.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--bought-into-your-game-amin-87bpm-edit-master.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--breathing-serenity.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--down-(prod)--69bpm-fmaj-ver-2-final-lyric.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--down-(prod)--69bpm-fmaj.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--down-(stripped)-with-reverb--69bpm-fmaj.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--is-it-us-prod-amin-84bpm-master.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--nightfall.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--optimistic-expectations.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--reflections.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--solace.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--tall-forest.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/kleigh--waterfall.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/like-a-bunny.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/new-orleans-piano-trio-1.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/nighttime.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/perfect-day-reprise.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/perfect-day.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/rhythm-play.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/score-3--the-end.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/silly-song.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/stomp-and-clap.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/thank-you.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/the-cemetery-stomp--snippet.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/wanna-know-you.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/we'll-be-free.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/when-i-grow-up.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
public/pix/why-does-life-gotta-be-this-hard.mp3	mp3	TRACKED_IN_PUBLIC_GPMC	NEEDS_PUBLIC_AUDIO_REVIEW	Existing tracked public audio asset; do not delete until classified.
